SeqName	GO IDs
ostta13g01720	C:GO:0016021
ostta13g01730	F:GO:0004312; C:GO:0005835; P:GO:0006633; P:GO:0055114
ostta13g01740	C:GO:0016021
ostta13g01750	C:GO:0016021
ostta13g01760	P:GO:0006508; F:GO:0008233; F:GO:0008234
ostta13g01770	P:GO:0006508; F:GO:0008234
ostta13g01790	
ostta13g01800	F:GO:0005337; C:GO:0016021; P:GO:1901642
ostta13g01810	F:GO:0003723; F:GO:0016428; P:GO:0030488
ostta13g01820	P:GO:0000160; F:GO:0005515; C:GO:0005634; F:GO:0016740
ostta13g01830	
ostta13g01840	F:GO:0016627; F:GO:0050660; P:GO:0055114
ostta13g01850	
ostta13g01860	
ostta13g01870	F:GO:0004747; P:GO:0006014; F:GO:0009045; P:GO:0016310
ostta13g01880	F:GO:0004674; F:GO:0005524; P:GO:0006468
ostta13g01890	P:GO:0001522; F:GO:0003723; F:GO:0009982
ostta13g01900	P:GO:0006869; F:GO:0008289; C:GO:0016021
ostta13g01910	C:GO:0016021
ostta13g01920	F:GO:0003676; F:GO:0008168; P:GO:0032259
ostta13g01930	
ostta13g01940	F:GO:0004674; F:GO:0005524; C:GO:0005737; P:GO:0007346; C:GO:0016020; P:GO:0023014; P:GO:0031098; P:GO:0032147; P:GO:0042981
ostta13g01950	C:GO:0016021
ostta13g01960	F:GO:0005515; C:GO:0044424
ostta13g01970	P:GO:0000281; C:GO:0000922; F:GO:0005509; C:GO:0005813; P:GO:0007052; P:GO:0021795; C:GO:0031514; F:GO:0043014; P:GO:0051302; C:GO:0072686
ostta13g01980	C:GO:0016021; F:GO:0016757
ostta13g01990	F:GO:0008270
ostta03g04330	P:GO:0000413; F:GO:0003755; P:GO:0006457; F:GO:0008009; P:GO:0010759; F:GO:0042056; P:GO:0050918
ostta13g02010	
ostta13g02020	F:GO:0004198; C:GO:0005622; P:GO:0006508
ostta13g02030	P:GO:0006793; P:GO:0009225; F:GO:0051748
ostta13g02040	F:GO:0003896; P:GO:0006269
ostta13g02050	
ostta13g02060	F:GO:0003676; F:GO:0004386; F:GO:0005524
ostta13g02070	C:GO:0016021
ostta13g02080	C:GO:0016020; C:GO:0016021
ostta13g02090	C:GO:0005739; F:GO:0015039; P:GO:0055114
ostta13g02100	
ostta13g02110	F:GO:0008465; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0051287; P:GO:0055114
ostta13g02120	
ostta13g02130	
ostta13g02140	P:GO:0001510; F:GO:0003723; P:GO:0008033; F:GO:0008173
ostta13g02150	F:GO:0045322; F:GO:0046872; C:GO:0048188
ostta01g02190	P:GO:0000902; C:GO:0016021; P:GO:1901891
ostta13g02170	C:GO:0009507
ostta13g02180	F:GO:0016787; P:GO:0044237
ostta13g02190	F:GO:0016787
ostta13g02200	F:GO:0004151; P:GO:0006221; P:GO:0019856; F:GO:0046872
ostta13g02210	
ostta13g02220	C:GO:0009507; C:GO:0010287
ostta13g02230	F:GO:0005524; C:GO:0005832; P:GO:0006458; F:GO:0044183; F:GO:0051082; P:GO:0061077
ostta13g02240	F:GO:0004067
ostta13g02250	C:GO:0005739; C:GO:0009941; C:GO:0016021; P:GO:0055085
ostta13g02260	F:GO:0003743; F:GO:0003746; F:GO:0003924; F:GO:0005525; P:GO:0006413; P:GO:0006414
ostta13g02270	P:GO:0006508; F:GO:0046872; F:GO:0070006
ostta13g02280	C:GO:0000790; F:GO:0005524; C:GO:0005840; P:GO:0006298; P:GO:0006312; P:GO:0009845; F:GO:0016887; F:GO:0030983; C:GO:0032300
ostta13g02290	
ostta13g02300	P:GO:0002098; F:GO:0016300; P:GO:0030488; F:GO:0051213; P:GO:0055114
ostta13g02310	C:GO:0005737; P:GO:0006457; C:GO:0016020; C:GO:0016021; P:GO:0032502; F:GO:0051082
ostta13g02320	C:GO:0016020; C:GO:0016021
ostta13g02330	F:GO:0016787
ostta13g02340	
ostta13g02350	C:GO:0005787; P:GO:0006465; F:GO:0008233; C:GO:0016021; C:GO:0031090; P:GO:0045047
ostta13g02360	P:GO:0006644; F:GO:0016746
ostta13g02370	F:GO:0005515; F:GO:0010997; F:GO:0097027; P:GO:1904668
ostta01g00870	
ostta13g02390	C:GO:0016021
ostta13g02400	C:GO:0016021
ostta13g02410	C:GO:0016021; P:GO:0055085
ostta13g02420	C:GO:0016021; P:GO:0055085
ostta13g02430	C:GO:0016021
ostta13g02440	F:GO:0004497; F:GO:0005506; C:GO:0009507; P:GO:0016117; F:GO:0016705; F:GO:0020037; P:GO:0055114
ostta13g02450	F:GO:0004722; P:GO:0006470; F:GO:0046872
ostta09g01780	F:GO:0003676; F:GO:0004386; F:GO:0005524; P:GO:0006807; C:GO:0016020; P:GO:0043170; P:GO:0044237; P:GO:0044238; C:GO:0044424
ostta13g02470	F:GO:0005515; C:GO:0016021
ostta13g02480	C:GO:0016021
ostta13g02490	F:GO:0003723; F:GO:0005525; C:GO:0005622; F:GO:0016787
ostta13g02500	C:GO:0005737; P:GO:0006508; F:GO:0008270; F:GO:0042277; P:GO:0043171; F:GO:0070006
ostta13g02510	C:GO:0016021
ostta13g02520	F:GO:0003676; F:GO:0004004; F:GO:0005524; C:GO:0005730; C:GO:0005737; P:GO:0010501
ostta13g02530	C:GO:0005789; P:GO:0006633; C:GO:0016021; F:GO:0102158; F:GO:0102343; F:GO:0102344; F:GO:0102345
ostta13g02540	C:GO:0016021
ostta09g01615	F:GO:0005524; C:GO:0016021; F:GO:0016887
ostta13g02560	F:GO:0003723; C:GO:0016021
ostta13g02570	
ostta13g02580	F:GO:0003824; F:GO:0051536
ostta13g02590	F:GO:0017154; P:GO:0071526
ostta09g01510	F:GO:0005515; C:GO:0005634; F:GO:0008270
ostta09g01495	F:GO:0004843; F:GO:0005515; P:GO:0016579
ostta13g02620	F:GO:0005515
ostta13g02630	F:GO:0004842; P:GO:0016567; F:GO:0016874
ostta13g02640	F:GO:0004177; C:GO:0005669; P:GO:0006508; F:GO:0008237; F:GO:0008270
ostta13g02650	
ostta13g02660	F:GO:0008146; C:GO:0016021
ostta13g02670	C:GO:0005730; F:GO:0008146; C:GO:0016021; P:GO:0042254
ostta13g02680	F:GO:0008168; P:GO:0032259
ostta13g02690	P:GO:0009119; P:GO:0009259; C:GO:0016021; F:GO:0017111
ostta13g02700	F:GO:0046872; F:GO:0051213; P:GO:0055114
ostta13g02710	F:GO:0005515
ostta13g02720	F:GO:0004692; F:GO:0005524; P:GO:0006468
ostta13g02730	F:GO:0003677; F:GO:0005524; F:GO:0008270; F:GO:0016787
ostta13g02740	F:GO:0003677; F:GO:0005524; F:GO:0008270; F:GO:0016787
ostta13g02750	
ostta13g02760	C:GO:0005634
ostta13g02770	
ostta13g02780	F:GO:0005488
ostta13g02790	F:GO:0005096; F:GO:0005515; C:GO:0005737; P:GO:0043547; F:GO:0046872
ostta13g02800	P:GO:0000054; F:GO:0005506; F:GO:0005524; C:GO:0005852; P:GO:0006413; P:GO:0006415; F:GO:0016887; F:GO:0043024
ostta13g02810	C:GO:0016020
ostta13g02820	C:GO:0016021; F:GO:0051213; P:GO:0055114
ostta13g02830	
ostta13g02840	P:GO:0005982; P:GO:0006470; P:GO:0007623; F:GO:0008138; F:GO:0019203
ostta13g02850	F:GO:0004672; F:GO:0005524; P:GO:0006468
ostta13g02870	F:GO:0005524; P:GO:0006508; C:GO:0009376; F:GO:0016887; F:GO:0070011
ostta13g02880	F:GO:0005524; P:GO:0006508; C:GO:0009376; F:GO:0016887; F:GO:0070011
ostta09g01490	F:GO:0004843; P:GO:0016579
ostta13g02900	C:GO:0016020; C:GO:0016021
ostta13g02910	C:GO:0016021
ostta13g02920	C:GO:0016021
ostta13g02930	P:GO:0001732; F:GO:0003743; F:GO:0005515; C:GO:0005852; C:GO:0016282; C:GO:0033290
ostta13g02940	F:GO:0004450; F:GO:0005509; P:GO:0006102; P:GO:0044238; P:GO:0055114
ostta13g02950	F:GO:0004842; F:GO:0005515; P:GO:0016567
ostta13g02960	F:GO:0005524; F:GO:0016887
ostta09g01410	P:GO:0006950
ostta09g01200	C:GO:0008540; F:GO:0030234; P:GO:0042176; P:GO:0050790
ostta13g02990	F:GO:0004842; C:GO:0005777; C:GO:0005829; P:GO:0006513; P:GO:0006635; P:GO:0007031; C:GO:0009506; P:GO:0009640; P:GO:0016558; F:GO:0016874; F:GO:0046872
ostta13g03000	
ostta13g03010	F:GO:0005515; C:GO:0005634; F:GO:0018024; P:GO:0034968
ostta09g01040	F:GO:0005515
ostta13g03030	C:GO:0005787; P:GO:0006465; F:GO:0008233; C:GO:0016021
ostta09g00975	C:GO:0016020; C:GO:0016021; F:GO:0030246
ostta13g03050	F:GO:0016746
ostta09g00970	F:GO:0003723; F:GO:0003962; F:GO:0004386; F:GO:0005524; C:GO:0005634; F:GO:0030170
ostta13g03070	F:GO:0004519; P:GO:0090305
ostta13g03080	F:GO:0005515
ostta13g03090	F:GO:0003824; F:GO:0051536
ostta19g00010	C:GO:0016020; C:GO:0016021
ostta19g00020	F:GO:0003777; P:GO:0007018
ostta12g02065	F:GO:0005488; P:GO:0051301
ostta19g00040	F:GO:0016740
ostta19g00050	F:GO:0016740
ostta19g00070	F:GO:0003676; F:GO:0016740
ostta19g00080	C:GO:0016020; C:GO:0016021
ostta19g00090	F:GO:0003676; F:GO:0008270
ostta19g00100	C:GO:0016021
ostta19g00110	F:GO:0003824; F:GO:0050662
ostta19g00120	C:GO:0016020; C:GO:0016021; F:GO:0016263; P:GO:0016266; F:GO:0016740; F:GO:0016757
ostta19g00130	C:GO:0016021; F:GO:0016757
ostta19g00140	C:GO:0016021
ostta19g00150	
ostta19g00160	
ostta19g00170	F:GO:0004372; F:GO:0008168; C:GO:0009570; P:GO:0019264; F:GO:0030170; P:GO:0032259; P:GO:0035999
ostta19g00180	
ostta19g00190	F:GO:0000166; F:GO:0003993; F:GO:0004252; P:GO:0006508; P:GO:0009166; C:GO:0016020; C:GO:0016021; P:GO:0016311; F:GO:0016787; F:GO:0016788; F:GO:0046872
ostta19g00200	
ostta19g00210	
ostta19g00220	C:GO:0016021
ostta19g00230	F:GO:0016740
ostta19g00240	C:GO:0016021
ostta19g00250	
ostta19g00260	
ostta19g00270	F:GO:0008168; C:GO:0016021; P:GO:0032259
ostta19g00280	F:GO:0008168; P:GO:0032259
ostta19g00290	C:GO:0016021
ostta19g00300	P:GO:0005975; P:GO:0006486; F:GO:0008375; C:GO:0016020; C:GO:0016021; F:GO:0016758
ostta19g00310	C:GO:0016020; C:GO:0016021
ostta19g00320	C:GO:0016020; C:GO:0016021; F:GO:0016263; P:GO:0016266; F:GO:0016740; F:GO:0016757
ostta19g00330	C:GO:0016021; F:GO:0016757
ostta19g00340	
ostta19g00350	F:GO:0008168; C:GO:0016021; P:GO:0032259
ostta19g00360	
ostta19g00370	C:GO:0016021
ostta19g00380	
ostta19g00390	
ostta19g00400	C:GO:0016021
ostta19g00410	F:GO:0008146; C:GO:0016021; P:GO:0016051
ostta19g00420	C:GO:0016021
ostta19g00430	F:GO:0000062
ostta19g00440	C:GO:0016021
ostta19g00450	F:GO:0016740
ostta19g00460	F:GO:0008168; C:GO:0016021; P:GO:0032259; P:GO:0055085
ostta19g00470	P:GO:0008152; F:GO:0016740; F:GO:0016787
ostta19g00480	F:GO:0016740; F:GO:0016787
ostta19g00490	C:GO:0016021
ostta19g00500	F:GO:0016740; F:GO:0016787
ostta19g00520	F:GO:0016853
ostta19g00530	F:GO:0008270; F:GO:0016788
ostta19g00540	C:GO:0016021
ostta19g00550	
ostta19g00560	F:GO:0008168; C:GO:0016021; P:GO:0032259
ostta19g00570	F:GO:0000062
ostta19g00580	P:GO:0006508; F:GO:0008233; F:GO:0008234
ostta19g00590	
ostta19g00600	C:GO:0016021
ostta19g00610	C:GO:0016021; F:GO:0016491; F:GO:0051537; P:GO:0055114
ostta19g00620	C:GO:0016021
ostta19g00630	C:GO:0016021; F:GO:0016757
ostta19g00640	C:GO:0016021
ostta19g00650	C:GO:0016021
ostta19g00660	C:GO:0016020; C:GO:0016021
ostta19g00670	P:GO:0009987; F:GO:0016787
ostta02g00010	C:GO:0016021
ostta02g00020	P:GO:0006508; F:GO:0008234
ostta02g00030	P:GO:0006486; F:GO:0008417; C:GO:0016021; C:GO:0032580; P:GO:0036065
ostta02g00040	F:GO:0016757
ostta02g00050	
ostta02g00080	
ostta02g00100	C:GO:0000786; C:GO:0000790; F:GO:0003677; P:GO:0006342; F:GO:0046982
ostta02g00110	F:GO:0004298; C:GO:0005634; C:GO:0005737; P:GO:0006511; C:GO:0019773
ostta02g00130	P:GO:0000305; F:GO:0004362; F:GO:0004791; C:GO:0005737; P:GO:0006749; F:GO:0009055; P:GO:0022900; P:GO:0045454; F:GO:0050660; F:GO:0050661; P:GO:0098869
ostta02g00150	C:GO:0005634
ostta02g00160	F:GO:0003824; P:GO:0008152; F:GO:0031177
ostta02g00170	F:GO:0003824; P:GO:0008152; F:GO:0031177
ostta02g00180	F:GO:0003824; P:GO:0008152; C:GO:0016020; F:GO:0031177
ostta02g00190	C:GO:0016021
ostta02g00200	F:GO:0009922; P:GO:0019367; P:GO:0030148; C:GO:0030176; P:GO:0034625; P:GO:0034626; P:GO:0042761
ostta02g00210	F:GO:0004597; P:GO:0042264; P:GO:0055114
ostta02g00220	
ostta02g00230	
ostta02g00240	C:GO:0000932; F:GO:0003676; F:GO:0004535; P:GO:0017148; C:GO:0030015; P:GO:0043928
ostta02g00250	F:GO:0003735; C:GO:0005730; C:GO:0022625
ostta02g00260	F:GO:0003824; P:GO:0008152
ostta02g00270	C:GO:0000445; F:GO:0003729; P:GO:0006406; P:GO:0006457; F:GO:0051082
ostta02g00290	F:GO:0008168; P:GO:0032259
ostta02g00300	F:GO:0001054; F:GO:0001055; F:GO:0001056; P:GO:0001172; F:GO:0003677; F:GO:0003968; C:GO:0005665; C:GO:0005666; C:GO:0005736; P:GO:0006360; P:GO:0006366; P:GO:0042797
ostta02g00310	C:GO:0005783; P:GO:0048193
ostta02g00320	P:GO:0006729; F:GO:0008124
ostta02g00330	F:GO:0003690; P:GO:0006355
ostta02g00340	F:GO:0004366; P:GO:0006655; C:GO:0009570; P:GO:0016024; F:GO:0102420
ostta03g00887	F:GO:0016740
ostta02g00360	F:GO:0005524
ostta02g00370	F:GO:0005525; C:GO:0005783; P:GO:0006614
ostta03g00655	C:GO:0016021
ostta02g00900	F:GO:0004040; P:GO:0006412; C:GO:0009536; C:GO:0030956; F:GO:0050567
ostta02g00400	F:GO:0004672; F:GO:0005524; P:GO:0006468; C:GO:0016020; C:GO:0016021
ostta02g00410	F:GO:0005515
ostta03g05675	
ostta02g00430	F:GO:0005515; C:GO:0005654; C:GO:0005730; P:GO:0006364
ostta02g00440	
ostta02g00450	F:GO:0000062
ostta02g00460	F:GO:0004674; F:GO:0005515; F:GO:0005524; P:GO:0006468
ostta02g00470	F:GO:0005506; F:GO:0005515; F:GO:0016705; F:GO:0016740; F:GO:0031418; P:GO:0055114
ostta02g00480	F:GO:0008270; P:GO:0016567; F:GO:0016874; F:GO:0019788; P:GO:0031146; C:GO:0031462; C:GO:0031463; C:GO:0031467; C:GO:0043224; P:GO:0045116; F:GO:0061630; C:GO:0080008; F:GO:0097602
ostta02g00490	C:GO:0005634; P:GO:0006260
ostta02g00500	F:GO:0003689; F:GO:0005524; C:GO:0005663; P:GO:0006260; P:GO:0006281
ostta02g00510	F:GO:0016651; P:GO:0022900
ostta02g00520	F:GO:0016746
ostta02g00530	C:GO:0016021
ostta02g00540	F:GO:0004848
ostta02g00580	C:GO:0009538; P:GO:0015979; C:GO:0016021
ostta02g00600	F:GO:0001056; C:GO:0005666; P:GO:0032774
ostta02g00610	C:GO:0000275; F:GO:0005524; P:GO:0015986; F:GO:0046933; P:GO:0099132
ostta02g00630	F:GO:0003723
ostta02g00640	P:GO:0000495; F:GO:0003723; C:GO:0005829; C:GO:0009506; F:GO:0009982; P:GO:0031118; P:GO:0031120; C:GO:0031429; P:GO:1990481
ostta02g00650	F:GO:0005515
ostta02g00660	
ostta02g00670	C:GO:0019867
ostta02g00680	P:GO:0000469; C:GO:0005730
ostta02g00690	C:GO:0000347; F:GO:0003677; F:GO:0004386; F:GO:0005524; P:GO:0006270; C:GO:0042555
ostta02g00700	
ostta02g00710	F:GO:0003824; P:GO:0008152; F:GO:0031177
ostta02g00720	F:GO:0003824; P:GO:0008152; F:GO:0031177
ostta02g00730	F:GO:0005515; F:GO:0016702; F:GO:0046872; P:GO:0055114
ostta02g00740	
ostta02g00750	P:GO:0000105; F:GO:0004399; F:GO:0008270; C:GO:0009570; F:GO:0051287; P:GO:0055114
ostta02g00760	
ostta02g00770	
ostta02g00780	F:GO:0003824; P:GO:0008152; F:GO:0031177
ostta02g00790	
ostta02g00800	C:GO:0016021; F:GO:0016491; F:GO:0031177; P:GO:0055114
ostta02g00810	F:GO:0000166; F:GO:0003938; C:GO:0005737; P:GO:0006177; P:GO:0006183; F:GO:0046872; P:GO:0055114
ostta02g00820	
ostta02g00830	C:GO:0005737; P:GO:0006468; P:GO:0008152; P:GO:0009231; P:GO:0016311; F:GO:0016787; F:GO:0016791; F:GO:0043621
ostta02g00850	C:GO:0016020
ostta02g00860	F:GO:0004378; P:GO:0006486; C:GO:0016021; P:GO:0097502
ostta02g00870	F:GO:0005506; P:GO:0018188; F:GO:0031418; F:GO:0031543; P:GO:0055114
ostta02g00880	F:GO:0003677; F:GO:0003899; P:GO:0006351; F:GO:0046983
ostta02g00890	F:GO:0003735; C:GO:0005840; P:GO:0006412
ostta02g00910	C:GO:0016020; C:GO:0016021
ostta02g00920	F:GO:0000166; C:GO:0016021; F:GO:0019829; P:GO:0030001; F:GO:0046872; P:GO:0099132
ostta02g00930	F:GO:0004057; P:GO:0016598
ostta02g00940	F:GO:0000287; F:GO:0004749; P:GO:0009116; P:GO:0009156; P:GO:0009165; F:GO:0016301; P:GO:0016310; F:GO:0016757
ostta02g00950	F:GO:0005524; C:GO:0005739; C:GO:0009507; F:GO:0016740; C:GO:0030956; P:GO:0032543; F:GO:0050567; P:GO:0070681
ostta02g00960	P:GO:0000462; F:GO:0005515; F:GO:0030515
ostta02g00970	C:GO:0005634; P:GO:0006508; F:GO:0008233
ostta02g00980	F:GO:0003723
ostta02g00990	P:GO:0006614; F:GO:0008312; C:GO:0048500
ostta02g01010	F:GO:0003735; C:GO:0005840; P:GO:0006412
ostta02g01020	F:GO:0005524; C:GO:0005783; F:GO:0032440; P:GO:0055114
ostta02g01030	F:GO:0005488
ostta02g01040	F:GO:0003676; P:GO:0006479; F:GO:0008276
ostta02g01050	F:GO:0004518; F:GO:0005488; P:GO:0006281
ostta02g01060	P:GO:0006869; F:GO:0008289; C:GO:0016021
ostta02g01070	P:GO:0000413; F:GO:0003755; C:GO:0005737; F:GO:0019211; P:GO:0035304; P:GO:0043085
ostta02g01080	F:GO:0003735; C:GO:0005840; P:GO:0006412
ostta02g00840	F:GO:0004340; F:GO:0005524; F:GO:0005536; P:GO:0006096; P:GO:0051156
ostta02g01100	C:GO:0016021; F:GO:0022857; P:GO:0055085
ostta02g01120	P:GO:0000460; P:GO:0000470; C:GO:0005730; C:GO:0030687
ostta02g01130	F:GO:0005524
ostta02g01140	F:GO:0004814; F:GO:0005524; C:GO:0005737; P:GO:0006420
ostta02g01160	P:GO:0000350; F:GO:0003712; F:GO:0005515; P:GO:0006357; C:GO:0071013; C:GO:0071014; C:GO:0071141; P:GO:1901002; P:GO:1902584
ostta02g01170	C:GO:0000439; F:GO:0001671; P:GO:0006289; P:GO:0006355
ostta02g01180	F:GO:0004519; F:GO:0004527; P:GO:0090305
ostta02g01190	F:GO:0000166; P:GO:0002213; F:GO:0004357; P:GO:0006750; P:GO:0009408; C:GO:0009570; P:GO:0009700; P:GO:0009753; P:GO:0009816; P:GO:0010193; P:GO:0019761; P:GO:0046686; P:GO:0050832; P:GO:0052544
ostta02g01200	F:GO:0003824; P:GO:0008152
ostta02g01210	P:GO:0000398; P:GO:0000470; F:GO:0003723; P:GO:0006412; C:GO:0022625; P:GO:0030490; C:GO:0031428; C:GO:0032040; C:GO:0046540; C:GO:0071011
ostta02g01230	F:GO:0003924; F:GO:0005515; F:GO:0005525; C:GO:0005622; P:GO:0006400
ostta02g01240	F:GO:0005515; F:GO:0016740
ostta02g01250	
ostta02g01260	C:GO:0005634; F:GO:0008270; P:GO:0032786
ostta02g01270	F:GO:0004252; C:GO:0005739; P:GO:0006508; C:GO:0009570; C:GO:0009579; C:GO:0009941; C:GO:0016021
ostta02g01290	F:GO:0004601; C:GO:0016021; P:GO:0098869
ostta02g01300	C:GO:0016021
ostta02g01310	
ostta02g01320	F:GO:0005524; P:GO:0006457; F:GO:0051082
ostta02g01330	F:GO:0003743; P:GO:0006364; P:GO:0006413; P:GO:0031120; C:GO:0031429; F:GO:0034513
ostta02g01350	C:GO:0005956; F:GO:0016301; F:GO:0019887; P:GO:0045859
ostta02g01360	F:GO:0005524; F:GO:0005525; C:GO:0005737; F:GO:0016887; F:GO:0043022; F:GO:0043023
ostta02g01370	F:GO:0005488
ostta02g01390	F:GO:0003743; C:GO:0005829; C:GO:0005840; C:GO:0005850; C:GO:0005851; P:GO:0006413; C:GO:0033290; F:GO:0043022; C:GO:0043614
ostta02g01400	P:GO:0015031; C:GO:0016020
ostta02g01410	F:GO:0005509; C:GO:0009507; C:GO:0009654; P:GO:0015979; C:GO:0019898
ostta02g01420	F:GO:0004322; C:GO:0005739; F:GO:0008199; P:GO:0016226; P:GO:0044238; P:GO:0050896; P:GO:0055114; P:GO:0065007; P:GO:1901564
ostta02g01430	P:GO:0001510; F:GO:0008168; P:GO:0009452; C:GO:0044424
ostta02g01440	F:GO:0004672; F:GO:0005524; P:GO:0006468
ostta02g01460	F:GO:0001530; P:GO:0002862; F:GO:0004298; F:GO:0005515; C:GO:0005654; C:GO:0005829; P:GO:0006511; C:GO:0019773
ostta02g01480	F:GO:0003700; C:GO:0005634; P:GO:0006355; F:GO:0043565; F:GO:0046982
ostta02g01490	F:GO:0003924; F:GO:0005525; P:GO:0006887; C:GO:0055037
ostta02g01500	F:GO:0000062
ostta02g01510	C:GO:0005634; P:GO:0006355; F:GO:0032041; F:GO:0046872; P:GO:0070932
ostta02g01520	C:GO:0000930; F:GO:0003924; F:GO:0005525; C:GO:0005874; P:GO:0007020; P:GO:0031122
ostta02g01530	F:GO:0046982
ostta02g01550	F:GO:0003676
ostta02g01560	P:GO:0006508; F:GO:0008234
ostta02g01580	
ostta02g01590	F:GO:0003743; C:GO:0005672; P:GO:0006367; P:GO:0006413
ostta02g01600	C:GO:0005774; F:GO:0015078; P:GO:0015991; C:GO:0016021; C:GO:0033179
ostta02g01610	F:GO:0015299; C:GO:0016021; P:GO:1902600
ostta02g01630	
ostta02g01640	F:GO:0005515; P:GO:0009416; C:GO:0009507; P:GO:0045038; C:GO:0080085
ostta02g01660	F:GO:0003723
ostta02g01670	C:GO:0016021
ostta02g01680	P:GO:0006744; C:GO:0031314
ostta02g01690	P:GO:0000105; F:GO:0004400; F:GO:0030170
ostta02g01710	F:GO:0003677; C:GO:0005634; P:GO:0006355
ostta02g01720	P:GO:0006508; F:GO:0008234
ostta02g01730	F:GO:0008661; P:GO:0016114
ostta02g01750	
ostta02g01770	F:GO:0003676; F:GO:0003899; C:GO:0005730; P:GO:0006366; P:GO:0006379; F:GO:0008270
ostta02g01780	F:GO:0001054; F:GO:0001055; F:GO:0001056; F:GO:0003677; C:GO:0005665; C:GO:0005666; C:GO:0005736; P:GO:0006360; P:GO:0006366; P:GO:0006383; F:GO:0070569
ostta02g01790	F:GO:0000049; F:GO:0004826; F:GO:0005524; C:GO:0005739; P:GO:0006432; C:GO:0009570; C:GO:0016020
ostta02g01810	F:GO:0016301; P:GO:0016310
ostta02g01820	F:GO:0001614; F:GO:0004931; F:GO:0005515; C:GO:0005887; P:GO:0033198; P:GO:0035590; P:GO:0050848; P:GO:0098655
ostta02g01840	P:GO:0006633; C:GO:0009570; P:GO:0009735; C:GO:0009941; P:GO:0010020; C:GO:0016021; F:GO:0016747
ostta02g01850	F:GO:0004797; F:GO:0005524; P:GO:0009157; P:GO:0016310; F:GO:0016787; P:GO:0071897
ostta02g01860	F:GO:0003682; C:GO:0005634; P:GO:0007049; P:GO:0010468
ostta02g01870	F:GO:0003682
ostta02g01880	C:GO:0016021
ostta02g01890	C:GO:0005768; C:GO:0005802; P:GO:0015031; C:GO:0016021; P:GO:0016192
ostta02g01900	F:GO:0004677; F:GO:0005524; P:GO:0006281; P:GO:0006468
ostta02g01910	F:GO:0005524; P:GO:0006457; F:GO:0051082
ostta02g01920	C:GO:0000139; C:GO:0005789; P:GO:0006621; P:GO:0010204; P:GO:0015031; C:GO:0016021; P:GO:0016192; F:GO:0046923
ostta02g01930	P:GO:0009247; F:GO:0016758
ostta02g01950	F:GO:0003677; F:GO:0003700; C:GO:0005634; C:GO:0005667; P:GO:0006355
ostta02g01960	P:GO:0006355
ostta02g01970	F:GO:0000049; F:GO:0002161; F:GO:0004822; F:GO:0005524; C:GO:0005829; P:GO:0006428; C:GO:0016020; P:GO:0046686; P:GO:0106074
ostta02g01980	F:GO:0004665; P:GO:0006571; F:GO:0008977; C:GO:0009507; P:GO:0055114
ostta02g01990	
ostta02g02000	F:GO:0004077; P:GO:0006464
ostta02g02010	F:GO:0003677; F:GO:0003678; F:GO:0005524; C:GO:0005634; P:GO:0006270; P:GO:0007049; P:GO:0032508; C:GO:0042555
ostta02g02020	C:GO:0005783; P:GO:0048193
ostta02g02030	F:GO:0003676; F:GO:0004386; F:GO:0005524; C:GO:0005634; P:GO:0016070
ostta02g02050	
ostta02g02060	C:GO:0016021; F:GO:0016757
ostta02g02070	F:GO:0016740
ostta02g02080	
ostta02g02090	P:GO:0006457; C:GO:0009570; C:GO:0009941; P:GO:0015031; F:GO:0016853
ostta02g02100	C:GO:0016021
ostta02g02110	F:GO:0005515; F:GO:0016491; P:GO:0055114
ostta02g02120	F:GO:0051213; P:GO:0055114
ostta02g02130	F:GO:0004842; F:GO:0005515; P:GO:0016567; F:GO:0046872
ostta02g02140	F:GO:0003677; F:GO:0046872
ostta02g02150	C:GO:0016020; C:GO:0016021
ostta02g02180	C:GO:0009507; P:GO:0033354; P:GO:0055114; F:GO:0090415
ostta02g02200	F:GO:0003743; C:GO:0005737; P:GO:0006413
ostta02g02210	C:GO:0016020; C:GO:0016021
ostta02g02240	C:GO:0005783; C:GO:0016021; F:GO:0016740; F:GO:0016831; P:GO:0019752; P:GO:0030149; F:GO:0030170
ostta02g02260	F:GO:0003677; C:GO:0005634
ostta02g02270	F:GO:0003723; F:GO:0004831; F:GO:0005524; C:GO:0005737; P:GO:0006437
ostta02g02280	C:GO:0009507; C:GO:0044425; C:GO:0044436
ostta02g02290	F:GO:0003677; F:GO:0003899; C:GO:0005634; C:GO:0005829; P:GO:0006351; F:GO:0032549
ostta02g02300	F:GO:0004517; F:GO:0005516; P:GO:0006809; F:GO:0010181; F:GO:0020037; F:GO:0046872; F:GO:0050660; F:GO:0050661; P:GO:0055114
ostta02g02310	F:GO:0004252; P:GO:0006508; C:GO:0009534; C:GO:0009840; C:GO:0009941
ostta02g02320	C:GO:0009507; C:GO:0009523; P:GO:0015979; C:GO:0016021
ostta02g02330	F:GO:0004722; P:GO:0006470; C:GO:0043231; F:GO:0046872
ostta02g02340	F:GO:0004066; P:GO:0006529
ostta02g02360	F:GO:0004298; C:GO:0005634; C:GO:0005737; C:GO:0005839; C:GO:0016020; P:GO:0051603
ostta02g02370	F:GO:0003987; F:GO:0005524; C:GO:0009507; F:GO:0016208; P:GO:0019427
